,words,outcome
1240,instead,0.0
62,yes,0.0
1305,dramatically,0.0
852,ядро,0.0
1893,промо́утер,0.0
1262,simple,0.0
223,card,0.0
145,мытарить,0.0
1088,падеграс,0.0
373,ме́неджер,0.0
1996,note,0.0
1142,gentleman,0.0
2302,телевизор,0.0
2080,concern,0.0
1274,jabduqlov,0.0
1265,yiliga,0.0
2148,illustrate,0.0
1778,divorce,0.0
9,cite,0.0
449,index,0.0
708,democracy,0.0
255,ёлочка,0.0
882,institution,0.0
1617,brush,0.0
389,cold,0.0
2108,people,0.0
2305,criteria,0.0
1581,aggressive,0.0
908,uniform,0.0
924,United,0.0
751,журавель,0.0
1721,ha-ha,0.0
460,establishment,0.0
1777,кутнуть,0.0
1224,heel,0.0
1168,follow,0.0
958,proceed,0.0
501,lip,0.0
739,падекатр,0.0
40,flower,0.0
868,lean,0.0
731,channel,0.0
539,missile,0.0
1201,base,0.0
1339,quite,0.0
697,race,0.0
1824,shahar,0.0
1977,precisely,0.0
1928,naturally,0.0
1371,habashiy,0.0
1145,speed,0.0
1031,убежать,0.0
372,ёжащий,0.0
667,югра,0.0
1431,approval,0.0
2100,everybody,0.0
357,джо́йстик,0.0
967,brusnikagullilar,0.0
783,po‘latchi,0.0
735,chakak-chakak,0.0
1353,different,0.0
1035,reject,0.0
970,competitor,0.0
470,media,0.0
655,ibodiylar,0.0
2263,Christmas,0.0
2241,doctor,0.0
1396,housing,0.0
1536,prison,0.0
1811,chance,0.0
2098,cluster,0.0
1549,following,0.0
1328,nature,0.0
1889,racial,0.0
2078,ксе́рокс,0.0
1425,economic,0.0
1464,wife,0.0
1555,quietly,0.0
2000,flow,0.0
1250,awful,0.0
1699,insist,0.0
1252,абажурчик,0.0
2334,fagot,0.0
2230,efficient,0.0
1236,куточек,0.0
885,live,0.0
79,люблянский,0.0
1172,jabduqlatish,0.0
814,любовный,0.0
2151,Indian,0.0
671,proposal,0.0
2103,catch,0.0
1965,urban,0.0
57,mas'uliyat,0.0
133,soyabonguldoshlar,0.0
1140,attractive,0.0
933,cooking,0.0
928,fabrikatsiya,0.0
823,year,0.0
1432,performance,0.0
1909,judge,0.0
1531,ёж,0.0
1214,pepper,0.0
504,nose,0.0
2376,edelveys,0.0
347,form,0.0
386,bet,0.0
1024,fahmli,0.0
1384,gabarit,0.0
894,brain,0.0
828,plane,0.0
2342,jabduqchi,0.0
475,central,0.0
1683,annual,0.0
2057,fahmlanmoq,0.0
2238,unfortunately,0.0
2032,мытищинский,0.0
1956,per,0.0
652,actor,0.0
172,yesterday,0.0
1474,treat,0.0
1149,direction,0.0
38,очумелый,0.0
1554,away,0.0
713,abajurtutqich,0.0
90,perfectly,0.0
166,arm,0.0
1205,денверский,0.0
875,эвмениды,0.0
2109,bright,0.0
2370,investigator,0.0
2203,clean,0.0
2341,experience,0.0
1093,angry,0.0
1155,crisis,0.0
1324,probably,0.0
1905,bar,0.0
1350,dabdabasiz,0.0
510,jabr-sitam,0.0
1680,participant,0.0
499,resist,0.0
1897,щёлковцы,0.0
1388,hour,0.0
1519,hello,0.0
1671,chain,0.0
338,sector,0.0
2181,regional,0.0
1188,used,0.0
28,arrangement,0.0
1540,order,0.0
1217,язвительность,0.0
1855,term,0.0
794,жупел,0.0
945,regularly,0.0
1416,бадьян,0.0
169,cause,0.0
1968,generation,0.0
1676,night,0.0
1197,лазер,0.0
1542,label,0.0
1253,approach,0.0
1958,debate,0.0
912,tube,0.0
491,assert,0.0
953,deny,0.0
1097,regime,0.0
1032,раболепие,0.0
587,officer,0.0
750,табор,0.0
657,useful,0.0
234,денационализированный,0.0
732,шалевать,0.0
2397,crew,0.0
1186,commission,0.0
1156,ёжить,0.0
2199,announce,0.0
2003,southern,0.0
2168,мытный,0.0
934,жульничество,0.0
1209,challenge,0.0
1065,red,0.0
1716,degree,0.0
108,iblislik,0.0
1062,язвина,0.0
568,cap,0.0
1167,virus,0.0
1174,sing,0.0
1588,frezerlovchi,0.0
1507,gently,0.0
1492,yoqlamaganlik,0.0
890,listen,0.0
947,see,0.0
1048,comedy,0.0
1891,off,0.0
1920,нордовый,0.0
2031,unit,0.0
884,consciousness,0.0
143,heat,0.0
2360,lab,0.0
2105,complicated,0.0
850,soul,0.0
1587,ghost,0.0
1407,complete,0.0
734,pregnancy,0.0
717,работать,0.0
2281,line,0.0
454,абака,0.0
264,ever,0.0
75,dirt,0.0
1256,beyond,0.0
444,paper,0.0
395,chair,0.0
2016,reaction,0.0
176,hearing,0.0
1042,любовник,0.0
2245,норильцы,0.0
1963,day,0.0
1365,гелиоэнергетика,0.0
1932,кли́ннинг,0.0
595,trial,0.0
61,thinking,0.0
1296,убедительный,0.0
1821,yoyiqqina,0.0
872,alter,0.0
866,badbinlashganlik,0.0
216,tale,0.0
278,assess,0.0
1548,халькозин,0.0
1718,carry,0.0
1392,фа-диезный,0.0
1803,vaalaykum assalom,0.0
36,virtue,0.0
2239,demonstrate,0.0
1213,abadiylashmoq,0.0
662,vacation,0.0
1983,million,0.0
2290,tomato,0.0
2029,trail,0.0
977,убегание,0.0
1571,brother,0.0
1122,terms,0.0
1712,secret,0.0
738,сабеизм,0.0
191,specifically,0.0
919,мыслию,0.0
456,strategy,0.0
1892,feed,0.0
1417,especially,0.0
675,movement,0.0
760,forward,0.0
2291,insight,0.0
2167,abadiylash,0.0
728,dining,0.0
2314,wrong,0.0
1399,campus,0.0
412,use,0.0
1098,evaluation,0.0
1516,valley,0.0
1649,representation,0.0
1524,куток,0.0
825,dabdabachilik,0.0
2082,sand,0.0
1926,toe,0.0
616,analyze,0.0
114,забаллотировать,0.0
417,lifetime,0.0
2353,юдольный,0.0
1625,toshkesak,0.0
969,раболепствовать,0.0
1945,sir,0.0
604,expand,0.0
2358,none,0.0
89,blind,0.0
848,vs,0.0
726,ab,0.0
2357,sevimlilik,0.0
753,забалованный,0.0
498,escape,0.0
1276,shift,0.0
1921,baddidlik,0.0
1325,colonial,0.0
1630,норд-норд-остовый,0.0
11,bond,0.0
396,stop,0.0
284,emphasize,0.0
2349,cancer,0.0
1066,йодноватистый,0.0
1865,coast,0.0
1191,badfe'llik,0.0
1440,егерский,0.0
1600,create,0.0
1858,propose,0.0
2247,resemble,0.0
2246,лайфха́к,0.0
1450,crime,0.0
690,communication,0.0
2172,expert,0.0
1952,веб-сервис,0.0
1568,offense,0.0
2332,department,0.0
2320,for,0.0
689,absolute,0.0
2060,other,0.0
1687,household,0.0
851,conviction,0.0
1498,silent,0.0
159,adjust,0.0
895,bedroom,0.0
496,жупан,0.0
257,brilliant,0.0
1782,prior,0.0
335,ibodat,0.0
2336,radical,0.0
1039,очутиться,0.0
515,usual,0.0
1348,копира́йтинг,0.0
1015,attitude,0.0
768,attach,0.0
2356,tap,0.0
441,ко́уч,0.0
2072,colleague,0.0
761,concentrate,0.0
1929,employ,0.0
1246,area,0.0
1203,quit,0.0
801,horse,0.0
1123,creation,0.0
1860,read,0.0
1781,journal,0.0
521,knife,0.0
1785,iblislashmoq,0.0
22,Кутузов-Смоленский,0.0
356,accompany,0.0
2288,gabion,0.0
1277,бадминтонист,0.0
1312,cash,0.0
1635,кутис,0.0
550,consist,0.0
340,proposed,0.0
431,province,0.0
473,coal,0.0
217,no,0.0
911,tum,0.0
1227,егермейстерский,0.0
2145,жульнический,0.0
1011,snow,0.0
957,hojatxona,0.0
1773,northern,0.0
93,гироску́тер,0.0
1008,journalist,0.0
1070,indeed,0.0
1092,height,0.0
2361,ill,0.0
1997,табуировать,0.0
1308,nine,0.0
696,Сабантуй,0.0
1109,clear,0.0
996,leave,0.0
1458,choose,0.0
1679,habashbashara,0.0
153,фагоцитарный,0.0
1099,investigate,0.0
2215,step,0.0
246,silver,0.0
2404,famous,0.0
789,motor,0.0
580,recovery,0.0
1470,tragedy,0.0
703,веб-страница,0.0
1212,even,0.0
896,poor,0.0
487,чирикать,0.0
559,dabiriston,0.0
1141,milk,0.0
1119,баз,0.0
512,movie,0.0
633,tashxis,0.0
2067,certainly,0.0
1664,recognize,0.0
1012,perfect,0.0
1931,ah,0.0
1150,our,0.0
2250,belief,0.0
116,fagotsitlar,0.0
740,differently,0.0
2216,under,0.0
1974,etc,0.0
1081,tobacco,0.0
1810,reading,0.0
830,exist,0.0
119,boot,0.0
656,Iraqi,0.0
2190,бадминтонистка,0.0
2154,comment,0.0
2352,эвклаз,0.0
635,club,0.0
369,dig,0.0
268,dependent,0.0
46,lawyer,0.0
991,educational,0.0
876,щёлкнуть,0.0
773,why,0.0
1219,division,0.0
1126,ударник,0.0
4,part,0.0
1595,labor,0.0
1077,effektlilik,0.0
837,навига́тор,0.0
681,чирикнуть,0.0
1715,basic,0.0
1148,concerned,0.0
574,ibo-andisha,0.0
50,understand,0.0
853,crazy,0.0
1982,ядрица,0.0
1823,editor,0.0
833,царствование,0.0
1115,мыт,0.0
1166,behind,0.0
1906,fahm-farosatsiz,0.0
971,book,0.0
399,yiqittirish,0.0
19,vital,0.0
684,care,0.0
35,gesture,0.0
2272,recently,0.0
524,recruit,0.0
920,contribute,0.0
1841,concept,0.0
1890,jabduqlanmoq,0.0
537,storm,0.0
1705,increase,0.0
2351,economy,0.0
245,exhibition,0.0
784,jabr,0.0
1409,son,0.0
154,immediate,0.0
1686,adapt,0.0
625,guarantee,0.0
2306,imagination,0.0
1346,bite,0.0
569,денатурирование,0.0
1758,царскосёлка,0.0
1816,убедительность,0.0
2065,measure,0.0
127,succeed,0.0
2386,category,0.0
2006,double,0.0
980,consider,0.0
190,Canadian,0.0
1139,ивановский,0.0
992,judgment,0.0
699,breakfast,0.0
606,bury,0.0
180,shirt,0.0
301,learning,0.0
1060,mount,0.0
2335,аароновщина,0.0
1069,журавлёнок,0.0
1243,twelve,0.0
16,tactic,0.0
2389,южане,0.0
546,ball,0.0
658,Mr,0.0
2166,денацифицировать,0.0
2193,creative,0.0
1504,любовница,0.0
959,girlfriend,0.0
797,afternoon,0.0
225,fahm-farosatlilik,0.0
2074,habsxona,0.0
1799,ago,0.0
2375,eventually,0.0
2085,gabrlar,0.0
1693,luck,0.0
1045,fee,0.0
469,specialist,0.0
954,bread,0.0
2385,табуироваться,0.0
639,had,0.0
2228,belong,0.0
1218,audience,0.0
1158,египтяне,0.0
1415,celebrate,0.0
2175,guruh,0.0
1527,компью́тер,0.0
2343,author,0.0
1300,estimate,0.0
2383,wing,0.0
1603,smell,0.0
160,charity,0.0
1704,ёжик,0.0
956,diaspora,0.0
2339,exhibit,0.0
877,квадрако́птер,0.0
1919,asset,0.0
1884,ok,0.0
98,encourage,0.0
2270,recognition,0.0
253,upper,0.0
103,evaluate,0.0
1445,wipe,0.0
1443,аароновский,0.0
1648,low,0.0
586,near,0.0
627,эвикция,0.0
1696,since,0.0
2101,йодный,0.0
403,sweep,0.0
1154,reputation,0.0
1682,prisoner,0.0
2056,базальт,0.0
2283,cigarette,0.0
452,абак,0.0
1327,relatively,0.0
2049,be,0.0
880,юдофильство,0.0
2340,bottle,0.0
623,fabrika-oshxona,0.0
2223,championship,0.0
1787,чиркать,0.0
262,гелиоэнергетический,0.0
1634,rahmat,0.0
1438,panel,0.0
2198,gado va gadoy,0.0
1969,tezlama,0.0
1802,college,0.0
640,already,0.0
2273,application,0.0
1959,ёкать,0.0
488,register,0.0
1843,dandanador,0.0
1734,approve,0.0
146,institutional,0.0
1534,single,0.0
1986,oqqovoq,0.0
1369,spend,0.0
2355,depth,0.0
659,sog‘ish,0.0
1794,buy,0.0
186,abajurli,0.0
1147,relationship,0.0
608,domestic,0.0
2191,glance,0.0
1930,broad,0.0
197,above,0.0
293,щелочённы,0.0
766,пионер,0.0
400,йодированный,0.0
122,чирки,0.0
202,jabran,0.0
835,piano,0.0
1439,know,0.0
1733,instruction,0.0
1695,military,0.0
1707,bike,0.0
2337,employer,0.0
1153,particularly,0.0
1661,others,0.0
1759,фаза,0.0
854,existing,0.0
1589,рабовладелица,0.0
641,soup,0.0
1,дри́фтинг,0.0
2160,норильчанка,0.0
698,careful,0.0
1636,visit,0.0
1291,bridge,0.0
2292,front,0.0
1520,introduction,0.0
1853,fahm-idrok,0.0
1136,bend,0.0
2387,жундеть,0.0
1631,uyalib-qimtinmoq,0.0
1998,mouth,0.0
663,or,0.0
683,wind,0.0
1257,conclude,0.0
317,любо-дорого,0.0
648,assistance,0.0
1434,practical,0.0
1479,speaker,0.0
709,educate,0.0
1282,badbasharalik,0.0
1768,шалёвка,0.0
972,balance,0.0
1306,glass,0.0
1400,денатурализоваться,0.0
1408,they,0.0
2237,frustration,0.0
1496,absorb,0.0
2038,tushuntirish,0.0
1529,champion,0.0
1663,mechanism,0.0
1354,minority,0.0
2346,dyuker,0.0
2362,given,0.0
1643,noise,0.0
1051,ten,0.0
795,денацифицироваться,0.0
1597,besides,0.0
1819,очувствоваться,0.0
1722,trend,0.0
1183,physically,0.0
1059,successful,0.0
540,па-де-де,0.0
1678,planning,0.0
2316,transform,0.0
1757,abadiylik,0.0
1923,circle,0.0
95,fahmlatmoq,0.0
1020,senator,0.0
563,voter,0.0
863,кутила,0.0
1484,jabduqchilik,0.0
1881,habashdek,0.0
1038,гелофиты,0.0
206,barrel,0.0
392,normal,0.0
870,wander,0.0
397,commercial,0.0
2310,leaf,0.0
1028,jabr-zulm,0.0
1485,sereus,0.0
960,additional,0.0
1570,денатурироваться,0.0
1895,саарский,0.0
2146,between,0.0
804,grave,0.0
1751,pie,0.0
502,его,0.0
779,вегетарианец,0.0
1863,царскоселец,0.0
200,база,0.0
2182,implement,0.0
2088,horror,0.0
2278,денатурация,0.0
1796,египетский,0.0
378,depression,0.0
418,funksiya,0.0
1698,fate,0.0
391,fabrikantlik,0.0
1522,ibolilik,0.0
1162,очухиваться,0.0
1495,breast,0.0
2027,hayratli,0.0
1152,edikilamoq,0.0
1367,split,0.0
64,drawing,0.0
2062,quiet,0.0
1180,юдоль,0.0
492,DNA,0.0
379,budurlanmoq,0.0
2235,may,0.0
763,reasonable,0.0
2264,and,0.0
791,ha-huv,0.0
1076,born,0.0
878,sad,0.0
337,абазин,0.0
1016,store,0.0
1275,investment,0.0
455,critic,0.0
815,best,0.0
2317,growth,0.0
995,lack,0.0
1981,understanding,0.0
201,йодлер,0.0
161,gabaritli,0.0
1579,dimension,0.0
702,норильчане,0.0
1500,денационализировать,0.0
1129,spread,0.0
1021,provision,0.0
1585,scandal,0.0
1955,раблезианство,0.0
2253,incredible,0.0
34,digital,0.0
775,participation,0.0
1478,relation,0.0
1390,Islamic,0.0
2139,smooth,0.0
1363,district,0.0
2041,абажур,0.0
241,junior,0.0
2061,valuable,0.0
2363,ibiy,0.0
600,sanction,0.0
1297,интерне́т,0.0
2214,геопозициони́рование,0.0
2068,coalition,0.0
646,effektivlik,0.0
1528,difference,0.0
1267,геллер,0.0
1899,fahm-farosat,0.0
562,lawn,0.0
189,palm,0.0
1806,sapun,0.0
975,lunch,0.0
2047,abroad,0.0
1082,pilot,0.0
474,salt,0.0
747,big,0.0
2300,singer,0.0
21,add,0.0
459,taqiq,0.0
1184,егерь,0.0
2324,win,0.0
955,mind,0.0
1215,option,0.0
1515,north,0.0
769,lift,0.0
1685,avoid,0.0
130,моби́льник,0.0
2135,complex,0.0
1482,satellite,0.0
330,expense,0.0
1238,habashistonlik,0.0
466,box,0.0
2169,controversial,0.0
1638,family,0.0
1095,priority,0.0
1130,analyst,0.0
1294,experiment,0.0
860,respect,0.0
